,365bumpinthat,Coletti,SCurt22,ahhowey,chardb,fennsuter,hilalzbr,jmiley2791,johnjjepic,marcusdu,natewhi02,piamlodos,tfarrell14
365bumpinthat,—,1-1,0-3,1-0,2-1,1-0,1-1,2-1,0-1,0-3,0-2,1-1,1-0
Coletti,1-1,—,1-1,0-1,2-0,0-1,2-0,1-1,1-0,1-1,1-2,1-2,1-2
SCurt22,3-0,1-1,—,0-1,1-2,1-0,2-0,1-1,0-1,1-1,0-3,1-1,1-1
ahhowey,0-1,1-0,1-0,—,1-0,1-0,0-0,0-1,1-0,0-1,1-0,0-0,1-0
chardb,1-2,0-2,2-1,0-1,—,0-0,1-1,2-0,0-1,1-1,1-1,3-0,2-1
fennsuter,0-1,1-0,0-1,0-1,0-0,—,0-0,1-0,1-0,0-1,1-0,0-1,0-1
hilalzbr,1-1,0-2,0-2,0-0,1-1,0-0,—,1-0,0-0,0-1,0-2,0-1,0-1
jmiley2791,1-2,1-1,1-1,1-0,0-2,0-1,0-1,—,0-1,1-2,1-1,1-2,0-3
johnjjepic,1-0,0-1,1-0,0-1,1-0,0-1,0-0,1-0,—,0-0,0-1,1-0,1-0
marcusdu,3-0,1-1,1-1,1-0,1-1,1-0,1-0,2-1,0-0,—,0-3,2-1,2-1
natewhi02,2-0,2-1,3-0,0-1,1-1,0-1,2-0,1-1,1-0,3-0,—,1-1,1-1
piamlodos,1-1,2-1,1-1,0-0,0-3,1-0,1-0,2-1,0-1,1-2,1-1,—,2-1
tfarrell14,0-1,2-1,1-1,0-1,1-2,1-0,1-0,3-0,0-1,1-2,1-1,1-2,—
