#,Manager,Seasons,Games Played,H2H Record (W-L),H2H Win %,Total PF,Avg PF,Total PA,Avg PA,Avg Margin,Avg Win Margin,Avg Loss Margin,High Score,Low Score,Largest Win,Smallest Win,Largest Loss,Smallest Loss,Median Win %,Unlucky Losses,Lucky Wins,Points StDev,Top Score Weeks,Low Score Weeks
1,natewhi02,2,24,17-7,70.8%,3423.92,142.66,3084.04,128.50,14.16,33.41,-32.57,178.10 (2024 Wk5),75.88 (2024 Wk3),72.20 (2025 Wk6),5.90 (2024 Wk12),-94.70 (2024 Wk3),-0.84 (2025 Wk1),79.2%,4,2,22.82,7,2
2,ahhowey,1,10,7-3,70.0%,1404.76,140.48,1245.06,124.51,15.97,31.56,-20.41,201.36 (2025 Wk7),90.52 (2025 Wk8),70.94 (2025 Wk6),7.82 (2025 Wk9),-36.34 (2025 Wk8),-5.78 (2025 Wk10),80.0%,1,0,30.40,2,1
3,marcusdu,2,24,15-9,62.5%,3202.74,133.45,3044.02,126.83,6.61,25.58,-24.99,189.56 (2024 Wk13),96.98 (2024 Wk3),66.22 (2025 Wk2),1.24 (2024 Wk8),-45.20 (2024 Wk11),-4.24 (2025 Wk4),62.5%,2,2,22.95,3,0
4,johnjjepic,1,10,6-4,60.0%,1168.94,116.89,1241.84,124.18,-7.29,11.34,-35.23,145.60 (2025 Wk4),84.44 (2025 Wk6),26.74 (2025 Wk3),1.70 (2025 Wk4),-72.20 (2025 Wk6),-2.20 (2025 Wk2),30.0%,0,3,19.74,0,1
5,chardb,2,24,13-11,54.2%,3077.42,128.23,2946.16,122.76,5.47,27.26,-20.29,164.78 (2024 Wk11),77.00 (2025 Wk6),67.04 (2024 Wk2),0.84 (2025 Wk1),-70.94 (2025 Wk6),-1.24 (2024 Wk8),58.3%,1,0,21.29,1,2
6,tfarrell14,2,24,12-12,50.0%,3243.42,135.14,3064.44,127.69,7.46,32.23,-17.32,171.68 (2024 Wk11),94.72 (2025 Wk1),68.44 (2024 Wk11),4.50 (2024 Wk9),-52.58 (2024 Wk5),-1.70 (2025 Wk4),66.7%,5,1,18.83,2,2
7,piamlodos,2,24,12-12,50.0%,3026.54,126.11,3073.64,128.07,-1.96,23.73,-27.66,176.52 (2024 Wk2),96.86 (2025 Wk6),47.96 (2024 Wk9),2.04 (2024 Wk10),-47.94 (2025 Wk9),-12.02 (2025 Wk10),37.5%,0,3,24.49,2,2
8,Coletti,2,24,12-12,50.0%,2940.82,122.53,2962.62,123.44,-0.91,23.00,-24.82,165.18 (2024 Wk5),95.98 (2025 Wk8),64.96 (2024 Wk14),2.20 (2025 Wk2),-66.82 (2025 Wk10),-1.52 (2024 Wk13),33.3%,1,5,19.03,1,1
9,SCurt22,2,24,12-12,50.0%,2777.36,115.72,2932.04,122.17,-6.45,22.83,-35.72,153.46 (2025 Wk7),85.06 (2024 Wk2),87.76 (2025 Wk7),1.52 (2024 Wk13),-67.04 (2024 Wk2),-5.94 (2024 Wk14),25.0%,0,6,19.06,1,6
10,365bumpinthat,2,24,10-14,41.7%,3062.76,127.62,3130.18,130.42,-2.81,18.81,-18.25,161.54 (2024 Wk8),85.06 (2024 Wk3),36.20 (2024 Wk11),0.72 (2025 Wk4),-46.38 (2024 Wk13),-2.76 (2024 Wk4),58.3%,6,2,21.76,1,1
11,fennsuter,1,10,4-6,40.0%,1180.38,118.04,1306.64,130.66,-12.63,22.23,-35.86,158.66 (2025 Wk1),65.70 (2025 Wk7),50.96 (2025 Wk8),1.04 (2025 Wk10),-87.76 (2025 Wk7),-7.82 (2025 Wk9),40.0%,1,1,28.05,2,1
12,jmiley2791,2,24,7-17,29.2%,2981.18,124.22,3203.84,133.49,-9.28,28.38,-24.78,170.58 (2024 Wk3),77.14 (2024 Wk7),94.70 (2024 Wk3),2.14 (2025 Wk5),-68.44 (2024 Wk11),-0.72 (2025 Wk4),41.7%,4,1,19.70,2,4
13,hilalzbr,1,14,3-11,21.4%,1665.70,118.98,1921.42,137.24,-18.27,23.59,-29.68,145.14 (2024 Wk4),88.90 (2024 Wk14),62.70 (2024 Wk7),3.80 (2024 Wk2),-64.96 (2024 Wk14),-1.96 (2024 Wk1),28.6%,3,2,17.95,0,1
